produce_id,subtype_name,origin_state,taste_profile,scientific_name,marathi_name,description,info
1,Alphonso (Hapus),Maharashtra,"Sweet, aromatic, rich saffron flavour, low fibre",Mangifera indica cv. Alphonso,Hapus,GI-tagged variety from Ratnagiri & Sindhudurg; considered the king of mangoes; peak season April–May; ideal for pulp and fresh consumption.,"GI-tagged variety from Ratnagiri & Sindhudurg; considered the king of mangoes; peak season April–May; ideal for pulp and fresh consumption.

Scientific name: Mangifera indica cv. Alphonso

Origin: Maharashtra

Taste profile: Sweet, aromatic, rich saffron flavour, low fibre

Marathi name: Hapus"
1,Kesar,Gujarat/Maharashtra,"Sweet, less fibrous, deep orange pulp",Mangifera indica cv. Kesar,Kesar,Grown in Aurangabad and Marathwada; second most exported variety; saffron-coloured pulp; season May–June.,"Grown in Aurangabad and Marathwada; second most exported variety; saffron-coloured pulp; season May–June.

Scientific name: Mangifera indica cv. Kesar

Origin: Gujarat/Maharashtra

Taste profile: Sweet, less fibrous, deep orange pulp

Marathi name: Kesar"
1,Langra,Uttar Pradesh/Maharashtra,"Sweet-sour, green skin, rich flavour",Mangifera indica cv. Langra,Langra,Grown in Nashik and Pune regions; medium-large fruit; greenish skin even when ripe.,"Grown in Nashik and Pune regions; medium-large fruit; greenish skin even when ripe.

Scientific name: Mangifera indica cv. Langra

Origin: Uttar Pradesh/Maharashtra

Taste profile: Sweet-sour, green skin, rich flavour

Marathi name: Langra"
1,Dasheri,Uttar Pradesh/Maharashtra,"Sweet, fibrous, aromatic",Mangifera indica cv. Dasheri,Dasheri,Long fruit with thin skin; grown in Vidarbha; season June–July.,"Long fruit with thin skin; grown in Vidarbha; season June–July.

Scientific name: Mangifera indica cv. Dasheri

Origin: Uttar Pradesh/Maharashtra

Taste profile: Sweet, fibrous, aromatic

Marathi name: Dasheri"
1,Totapuri,South India/Maharashtra,"Mildly sweet, tangy, firm, low fibre",Mangifera indica cv. Totapuri,Totapuri,"Large, elongated beak-shaped fruit; widely processed into mango pulp and pickle; grown in Solapur and Osmanabad.","Large, elongated beak-shaped fruit; widely processed into mango pulp and pickle; grown in Solapur and Osmanabad.

Scientific name: Mangifera indica cv. Totapuri

Origin: South India/Maharashtra

Taste profile: Mildly sweet, tangy, firm, low fibre

Marathi name: Totapuri"
1,Pairi,Maharashtra,"Sweet, juicy, mild sour notes",Mangifera indica cv. Pairi,Pairi,Early season variety from Konkan; oval fruit; eaten fresh; also called Pyari.,"Early season variety from Konkan; oval fruit; eaten fresh; also called Pyari.

Scientific name: Mangifera indica cv. Pairi

Origin: Maharashtra

Taste profile: Sweet, juicy, mild sour notes

Marathi name: Pairi"
1,Ratna,Maharashtra,"Very sweet, aromatic, less fibrous",Mangifera indica cv. Ratna,Ratna,Hybrid developed at Dr BSKKV Dapoli; Alphonso × Neelum cross; regular bearer; popular in Konkan.,"Hybrid developed at Dr BSKKV Dapoli; Alphonso × Neelum cross; regular bearer; popular in Konkan.

Scientific name: Mangifera indica cv. Ratna

Origin: Maharashtra

Taste profile: Very sweet, aromatic, less fibrous

Marathi name: Ratna"
1,Sindhu,Maharashtra,"Sweet, aromatic, low fibre, long shelf life",Mangifera indica cv. Sindhu,Sindhu,Hybrid (Ratna × Alphonso) developed at Vengurle; excellent export quality; shelf life 10–12 days.,"Hybrid (Ratna × Alphonso) developed at Vengurle; excellent export quality; shelf life 10–12 days.

Scientific name: Mangifera indica cv. Sindhu

Origin: Maharashtra

Taste profile: Sweet, aromatic, low fibre, long shelf life

Marathi name: Sindhu"
1,Neelum,Tamil Nadu/Maharashtra,"Sweet, mild, fibrous",Mangifera indica cv. Neelum,Nilam,"Late season variety (June–August); grown in Marathwada and Vidarbha; small-medium fruit, yellow skin.","Late season variety (June–August); grown in Marathwada and Vidarbha; small-medium fruit, yellow skin.

Scientific name: Mangifera indica cv. Neelum

Origin: Tamil Nadu/Maharashtra

Taste profile: Sweet, mild, fibrous

Marathi name: Nilam"
1,Amrapali,Maharashtra,"Very sweet, deep red-orange flesh",Mangifera indica cv. Amrapali,Amrapali,Dwarf hybrid; suitable for high-density planting; grown in Nashik and Jalgaon.,"Dwarf hybrid; suitable for high-density planting; grown in Nashik and Jalgaon.

Scientific name: Mangifera indica cv. Amrapali

Origin: Maharashtra

Taste profile: Very sweet, deep red-orange flesh

Marathi name: Amrapali"
