produce_id,type,name,scientific_name,category,season,marathi_name,hindi_name,english_name,description,info,status,image_link
1,fruit,Mango,Mangifera indica,Tropical,Zaid,Amba,Aam,Mango,"Maharashtra is one of India's leading mango-producing states. The Konkan coast is especially famous for Alphonso (Hapus), prized worldwide for its aroma, sweetness, and saffron-orange flesh. Grown across Ratnagiri, Sindhudurg, and Raigad districts. Season: March–June.","Maharashtra is one of India's leading mango-producing states. The Konkan coast is especially famous for Alphonso (Hapus), prized worldwide for its aroma, sweetness, and saffron-orange flesh. Grown across Ratnagiri, Sindhudurg, and Raigad districts. Season: March–June.

Scientific name: Mangifera indica

Category: Tropical

Season: Zaid

Marathi name: Amba

Hindi name: Aam

English name: Mango",active,
2,fruit,Grapes,Vitis vinifera,Tropical,Rabi,Draksha,Angoor,Grapes,"Maharashtra, particularly Nashik district, is India's largest grape-producing region, accounting for ~70% of national output. Nashik is called the ""Wine Capital of India"". Grapes are grown from October–November (pruning) with harvest January–March. Major export crop.","Maharashtra, particularly Nashik district, is India's largest grape-producing region, accounting for ~70% of national output. Nashik is called the ""Wine Capital of India"". Grapes are grown from October–November (pruning) with harvest January–March. Major export crop.

Scientific name: Vitis vinifera

Category: Tropical

Season: Rabi

Marathi name: Draksha

Hindi name: Angoor

English name: Grapes",active,
3,fruit,Orange,Citrus sinensis / Citrus reticulata,Citrus,Rabi,Santra,Santra,Orange,"Nagpur is the ""Orange City"" — Maharashtra's Vidarbha region produces the famous GI-tagged Nagpur Mandarin, India's most well-known orange variety, harvested November–January.","Nagpur is the ""Orange City"" — Maharashtra's Vidarbha region produces the famous GI-tagged Nagpur Mandarin, India's most well-known orange variety, harvested November–January.

Scientific name: Citrus sinensis / Citrus reticulata

Category: Citrus

Season: Rabi

Marathi name: Santra

Hindi name: Santra

English name: Orange",active,
4,fruit,Banana,Musa acuminata / Musa balbisiana,Tropical,Year-round,Kela,Kela,Banana,Jalgaon district is India's banana capital — Maharashtra ranks first nationally in banana production. Jalgaon bananas have a GI tag. Bananas are cultivated year-round under drip irrigation.,"Jalgaon district is India's banana capital — Maharashtra ranks first nationally in banana production. Jalgaon bananas have a GI tag. Bananas are cultivated year-round under drip irrigation.

Scientific name: Musa acuminata / Musa balbisiana

Category: Tropical

Season: Year-round

Marathi name: Kela

Hindi name: Kela

English name: Banana",active,
5,fruit,Guava,Psidium guajava,Tropical,Year-round,Peru,Amrood,Guava,"Guava is widely grown across Nashik, Pune, Solapur and Marathwada districts of Maharashtra. Rich in Vitamin C and lycopene; two crops per year possible.","Guava is widely grown across Nashik, Pune, Solapur and Marathwada districts of Maharashtra. Rich in Vitamin C and lycopene; two crops per year possible.

Scientific name: Psidium guajava

Category: Tropical

Season: Year-round

Marathi name: Peru

Hindi name: Amrood

English name: Guava",active,
6,fruit,Pomegranate,Punica granatum,Sub-tropical,Year-round,Dalimb,Anar,Pomegranate,"Maharashtra is the largest pomegranate producer in India, contributing ~80% of national output. Solapur, Sangli, Pune, Nashik, Ahmednagar and Osmanabad are major growing districts. Bhagwa variety has a GI tag and is a prized export fruit.","Maharashtra is the largest pomegranate producer in India, contributing ~80% of national output. Solapur, Sangli, Pune, Nashik, Ahmednagar and Osmanabad are major growing districts. Bhagwa variety has a GI tag and is a prized export fruit.

Scientific name: Punica granatum

Category: Sub-tropical

Season: Year-round

Marathi name: Dalimb

Hindi name: Anar

English name: Pomegranate",active,
7,fruit,Custard Apple,Annona squamosa / Annona reticulata,Tropical,Kharif,Sitafal,Sitafal,Custard Apple,"Custard apple is an important commercial fruit in Maharashtra, grown in dry regions of Nashik, Aurangabad, Osmanabad, Solapur and Pune. Season is September–November.","Custard apple is an important commercial fruit in Maharashtra, grown in dry regions of Nashik, Aurangabad, Osmanabad, Solapur and Pune. Season is September–November.

Scientific name: Annona squamosa / Annona reticulata

Category: Tropical

Season: Kharif

Marathi name: Sitafal

Hindi name: Sitafal

English name: Custard Apple",active,
8,fruit,Papaya,Carica papaya,Tropical,Year-round,Papai,Papita,Papaya,"Papaya is grown extensively across Maharashtra for fresh fruit and raw papaya processing. Pune, Nashik, Jalgaon and Aurangabad are major producing districts.","Papaya is grown extensively across Maharashtra for fresh fruit and raw papaya processing. Pune, Nashik, Jalgaon and Aurangabad are major producing districts.

Scientific name: Carica papaya

Category: Tropical

Season: Year-round

Marathi name: Papai

Hindi name: Papita

English name: Papaya",active,
9,fruit,Sapota,Manilkara zapota,Tropical,Year-round,Chiku,Chiku,Sapota / Chikoo,"Maharashtra is a major Sapota producer; Palghar, Nashik, Pune and Thane districts are major growing areas. Fruit is available year-round with peak seasons February–May and August–November.","Maharashtra is a major Sapota producer; Palghar, Nashik, Pune and Thane districts are major growing areas. Fruit is available year-round with peak seasons February–May and August–November.

Scientific name: Manilkara zapota

Category: Tropical

Season: Year-round

Marathi name: Chiku

Hindi name: Chiku

English name: Sapota / Chikoo",active,
10,fruit,Coconut,Cocos nucifera,Tropical,Year-round,Naral,Nariyal,Coconut,"Coconut is a major crop of the Konkan coast — Ratnagiri, Sindhudurg, Raigad, Palghar and Thane. Used for copra, oil, tender coconut water, and in Maharashtrian cuisine.","Coconut is a major crop of the Konkan coast — Ratnagiri, Sindhudurg, Raigad, Palghar and Thane. Used for copra, oil, tender coconut water, and in Maharashtrian cuisine.

Scientific name: Cocos nucifera

Category: Tropical

Season: Year-round

Marathi name: Naral

Hindi name: Nariyal

English name: Coconut",active,
